vino,vonj
104271,  coriander and   orange
104272,violet
104272,  rose
104272,  truffle
104272,  earth
104272,  coffee
104272,  leather
104272,  cherry
104272,   strawberry
104272,   earth
104272,   herbs
104272,   raspberry
104272,  Rose
104272,   cranberry and    currants
104302,vanilla
104302,  toast
104302,  smoke
104302,  tobacco
104302,  dark fruit and   red fruit
104311,spice
104311,  earth
104311,  currant and   cherry
104323,barnyard
104323,  cherry
104323,  plum
104323,  game and   tomato
104325,grapey
104325,  coriander
104325,  peach and   orange
104327,honeydew
104327,  iodine
104327,  grass
104327,  citrus
104327,  melon
104327,  kiwi
104327,  grapey
104327,  coriander
104327,  peach
104327,  orange
104327,  floral and   pear
104367,currant
104367,  blackberry
104367,  cherry
104367,  cedar and   cigar box
104368,red fruit
104368,  currant
104368,  cherry and   leather
104389,truffle
104389,  cherry
104389,  plum
104389,  leather and   vanilla
104402,apple
104402,  pear
104402,  peach
104402,  apricot
104402,  lemon
104402,  lime
104402,  orange
104402,  pineapple
104402,  kiwi
104402,  butter
104402,  cream and   vanilla
104429,apple
104429,  pear
104429,  peach
104429,  apricot
104429,  lemon
104429,  lime
104429,  orange
104429,  pineapple
104429,  kiwi
104429,  butter
104429,  cream and   vanilla
104445,currant
104445,  blackberry
104445,  cherry
104445,  cedar and   cigar box
104454,currant
104454,  blackberry
104454,  cherry
104454,  cedar and   cigar box
104519,currant
104519,  blackberry
104519,  cherry
104519,  cedar and   cigar box
104520,violet
104520,  rose
104520,  truffle
104520,  earth
104520,  coffee and   leather
104522,grapey
104522,  coriander
104522,  peach and   orange
104524,currant
104524,  blackberry
104524,  cherry
104524,  cedar
104524,  cigar box
104524,  violet
104524,  rose
104524,  truffle
104524,  earth
104524,  coffee
104524,  leather
104524,  tobacco
104524,  broccoli
104524,  berry
104524,  flower
104524,  mocha and   vanilla
